<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.01.03 00:00:00 0.72582 0.72637 0.72522 0.72596 112 0 40
2022.01.03 00:30:00 0.72651 0.72690 0.72559 0.72655 225 0 20
2022.01.03 01:00:00 0.72655 0.72747 0.72655 0.72742 428 0 9
2022.01.03 01:30:00 0.72737 0.72739 0.72668 0.72672 212 0 11
2022.01.03 02:00:00 0.72672 0.72735 0.72660 0.72716 354 0 3
2022.01.03 02:30:00 0.72714 0.72714 0.72651 0.72653 433 0 3
2022.01.03 03:00:00 0.72655 0.72770 0.72648 0.72731 457 0 2
2022.01.03 03:30:00 0.72729 0.72730 0.72537 0.72556 906 0 2
2022.01.03 04:00:00 0.72557 0.72558 0.72458 0.72525 716 0 2
2022.01.03 04:30:00 0.72525 0.72564 0.72489 0.72525 522 0 2
2022.01.03 05:00:00 0.72524 0.72549 0.72447 0.72458 489 0 3
2022.01.03 05:30:00 0.72456 0.72517 0.72394 0.72485 542 0 2
2022.01.03 06:00:00 0.72484 0.72537 0.72462 0.72532 267 0 2
2022.01.03 06:30:00 0.72532 0.72535 0.72465 0.72492 222 0 2
2022.01.03 07:00:00 0.72493 0.72500 0.72465 0.72470 167 0 0
2022.01.03 07:30:00 0.72465 0.72508 0.72450 0.72456 244 0 0
2022.01.03 08:00:00 0.72456 0.72495 0.72450 0.72462 435 0 0
2022.01.03 08:30:00 0.72462 0.72540 0.72461 0.72533 325 0 0
2022.01.03 09:00:00 0.72521 0.72541 0.72504 0.72507 381 0 0
2022.01.03 09:30:00 0.72513 0.72571 0.72510 0.72566 400 0 1
2022.01.03 10:00:00 0.72566 0.72629 0.72553 0.72618 902 0 0
2022.01.03 10:30:00 0.72618 0.72636 0.72581 0.72607 656 0 1
2022.01.03 11:00:00 0.72607 0.72619 0.72566 0.72573 393 0 0
2022.01.03 11:30:00 0.72572 0.72591 0.72520 0.72551 579 0 0
2022.01.03 12:00:00 0.72551 0.72604 0.72534 0.72581 364 0 0
2022.01.03 12:30:00 0.72583 0.72592 0.72496 0.72497 687 0 1
2022.01.03 13:00:00 0.72500 0.72521 0.72450 0.72494 727 0 0
2022.01.03 13:30:00 0.72495 0.72504 0.72445 0.72482 429 0 0
2022.01.03 14:00:00 0.72482 0.72482 0.72408 0.72439 434 0 0
2022.01.03 14:30:00 0.72443 0.72452 0.72405 0.72443 324 0 0
2022.01.03 15:00:00 0.72444 0.72447 0.72334 0.72366 688 0 0
2022.01.03 15:30:00 0.72366 0.72369 0.72205 0.72229 1223 0 0
2022.01.03 16:00:00 0.72229 0.72229 0.72074 0.72076 1080 0 0
2022.01.03 16:30:00 0.72076 0.72122 0.71940 0.71965 1947 0 0
2022.01.03 17:00:00 0.71970 0.72019 0.71871 0.71884 1813 0 0
2022.01.03 17:30:00 0.71884 0.71901 0.71850 0.71865 1242 0 0
2022.01.03 18:00:00 0.71866 0.71926 0.71842 0.71918 973 0 0
2022.01.03 18:30:00 0.71919 0.71960 0.71886 0.71937 785 0 0
2022.01.03 19:00:00 0.71937 0.71952 0.71916 0.71931 783 0 0
2022.01.03 19:30:00 0.71931 0.71984 0.71903 0.71962 473 0 1
2022.01.03 20:00:00 0.71962 0.72004 0.71950 0.71978 398 0 0
2022.01.03 20:30:00 0.71978 0.72006 0.71977 0.71992 259 0 1
2022.01.03 21:00:00 0.71993 0.71993 0.71920 0.71921 517 0 0
2022.01.03 21:30:00 0.71921 0.71950 0.71904 0.71904 699 0 0
2022.01.03 22:00:00 0.71908 0.71927 0.71870 0.71877 768 0 2
2022.01.03 22:30:00 0.71877 0.71900 0.71838 0.71869 844 0 1
2022.01.03 23:00:00 0.71872 0.71884 0.71853 0.71882 290 0 2
2022.01.03 23:30:00 0.71882 0.71927 0.71881 0.71905 273 0 11
2022.01.04 00:00:00 0.71894 0.71899 0.71838 0.71846 132 0 15
2022.01.04 00:30:00 0.71842 0.71894 0.71842 0.71856 384 0 24
2022.01.04 01:00:00 0.71856 0.71963 0.71848 0.71953 487 0 11
2022.01.04 01:30:00 0.71953 0.71966 0.71943 0.71950 324 0 11
2022.01.04 02:00:00 0.71947 0.71981 0.71939 0.71959 515 0 3
2022.01.04 02:30:00 0.71959 0.71980 0.71912 0.71977 427 0 2
2022.01.04 03:00:00 0.71977 0.72070 0.71974 0.72059 783 0 2
2022.01.04 03:30:00 0.72059 0.72059 0.71971 0.71997 635 0 3
2022.01.04 04:00:00 0.71998 0.72040 0.71947 0.72009 520 0 2
2022.01.04 04:30:00 0.72008 0.72041 0.71967 0.71987 350 0 2
2022.01.04 05:00:00 0.71988 0.72030 0.71963 0.71998 404 0 2
2022.01.04 05:30:00 0.71998 0.72049 0.71998 0.72023 267 0 3
2022.01.04 06:00:00 0.72024 0.72136 0.72024 0.72132 421 0 2
2022.01.04 06:30:00 0.72130 0.72143 0.72096 0.72106 386 0 2
2022.01.04 07:00:00 0.72108 0.72162 0.72077 0.72132 341 0 0
2022.01.04 07:30:00 0.72131 0.72160 0.72112 0.72130 293 0 0
2022.01.04 08:00:00 0.72130 0.72155 0.72053 0.72059 334 0 0
2022.01.04 08:30:00 0.72059 0.72116 0.72058 0.72085 322 0 0
2022.01.04 09:00:00 0.72085 0.72114 0.72016 0.72055 663 0 0
2022.01.04 09:30:00 0.72046 0.72108 0.72046 0.72079 578 0 0
2022.01.04 10:00:00 0.72082 0.72124 0.72077 0.72111 944 0 0
