<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.01.03 00:00:00 1.43672 1.43784 1.43608 1.43759 630 0 99
2022.01.03 00:30:00 1.43758 1.43798 1.43715 1.43716 479 0 69
2022.01.03 01:00:00 1.43716 1.43766 1.43646 1.43672 780 0 21
2022.01.03 01:30:00 1.43672 1.43974 1.43649 1.43968 805 0 15
2022.01.03 02:00:00 1.43964 1.43967 1.43800 1.43800 811 0 9
2022.01.03 02:30:00 1.43802 1.43805 1.43728 1.43767 629 0 2
2022.01.03 03:00:00 1.43767 1.43803 1.43682 1.43690 511 0 6
2022.01.03 03:30:00 1.43691 1.43836 1.43674 1.43820 1032 0 6
2022.01.03 04:00:00 1.43820 1.43844 1.43724 1.43738 925 0 6
2022.01.03 04:30:00 1.43737 1.43812 1.43730 1.43744 799 0 8
2022.01.03 05:00:00 1.43741 1.43813 1.43719 1.43807 438 0 6
2022.01.03 05:30:00 1.43807 1.43924 1.43806 1.43874 619 0 8
2022.01.03 06:00:00 1.43876 1.43876 1.43758 1.43783 353 0 7
2022.01.03 06:30:00 1.43779 1.43813 1.43745 1.43751 421 0 7
2022.01.03 07:00:00 1.43751 1.43789 1.43741 1.43759 354 0 6
2022.01.03 07:30:00 1.43758 1.43794 1.43745 1.43756 440 0 8
2022.01.03 08:00:00 1.43757 1.43847 1.43728 1.43833 423 0 7
2022.01.03 08:30:00 1.43834 1.43906 1.43801 1.43805 594 0 5
2022.01.03 09:00:00 1.43805 1.43913 1.43771 1.43776 954 0 7
2022.01.03 09:30:00 1.43779 1.43856 1.43737 1.43833 969 0 5
2022.01.03 10:00:00 1.43834 1.43834 1.43621 1.43636 1982 0 6
2022.01.03 10:30:00 1.43636 1.43796 1.43604 1.43783 1305 0 7
2022.01.03 11:00:00 1.43783 1.43917 1.43713 1.43724 1309 0 8
2022.01.03 11:30:00 1.43723 1.44008 1.43682 1.43934 1512 0 7
2022.01.03 12:00:00 1.43935 1.44004 1.43924 1.43942 1082 0 7
2022.01.03 12:30:00 1.43942 1.44022 1.43894 1.43988 1003 0 7
2022.01.03 13:00:00 1.43991 1.44126 1.43934 1.44066 1373 0 7
2022.01.03 13:30:00 1.44066 1.44102 1.43970 1.44017 1309 0 6
2022.01.03 14:00:00 1.44017 1.44045 1.43924 1.43971 1273 0 6
2022.01.03 14:30:00 1.43970 1.44056 1.43902 1.44043 1409 0 5
2022.01.03 15:00:00 1.44043 1.44367 1.43997 1.44352 2271 0 3
2022.01.03 15:30:00 1.44347 1.44380 1.44257 1.44336 2299 0 6
2022.01.03 16:00:00 1.44335 1.44377 1.44208 1.44280 2323 0 4
2022.01.03 16:30:00 1.44279 1.44394 1.44022 1.44030 4345 0 3
2022.01.03 17:00:00 1.44031 1.44150 1.43985 1.44102 3736 0 4
