<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <TICKVOL> <VOL> <SPREAD>
2022.01.03 00:00:00 0.68311 0.68325 0.68311 0.68320 14 0 62
2022.01.03 00:30:00 0.68169 0.68342 0.68168 0.68331 47 0 55
2022.01.03 01:00:00 0.68331 0.68453 0.68165 0.68452 340 0 23
2022.01.03 01:30:00 0.68452 0.68452 0.68382 0.68382 172 0 18
2022.01.03 02:00:00 0.68382 0.68479 0.68382 0.68468 331 0 5
2022.01.03 02:30:00 0.68466 0.68475 0.68448 0.68471 357 0 7
2022.01.03 03:00:00 0.68470 0.68561 0.68466 0.68542 699 0 5
2022.01.03 03:30:00 0.68542 0.68542 0.68352 0.68373 572 0 4
2022.01.03 04:00:00 0.68372 0.68372 0.68304 0.68344 510 0 9
2022.01.03 04:30:00 0.68343 0.68353 0.68304 0.68317 294 0 9
2022.01.03 05:00:00 0.68317 0.68349 0.68264 0.68274 340 0 8
2022.01.03 05:30:00 0.68274 0.68319 0.68228 0.68307 351 0 8
2022.01.03 06:00:00 0.68307 0.68337 0.68282 0.68334 270 0 9
2022.01.03 06:30:00 0.68334 0.68338 0.68280 0.68302 330 0 9
2022.01.03 07:00:00 0.68302 0.68309 0.68275 0.68282 258 0 4
2022.01.03 07:30:00 0.68282 0.68303 0.68275 0.68292 337 0 6
2022.01.03 08:00:00 0.68293 0.68313 0.68281 0.68293 282 0 5
2022.01.03 08:30:00 0.68293 0.68353 0.68293 0.68347 269 0 4
2022.01.03 09:00:00 0.68346 0.68347 0.68307 0.68307 324 0 4
2022.01.03 09:30:00 0.68307 0.68359 0.68307 0.68352 418 0 5
2022.01.03 10:00:00 0.68353 0.68432 0.68335 0.68432 819 0 5
2022.01.03 10:30:00 0.68433 0.68458 0.68402 0.68407 472 0 5
2022.01.03 11:00:00 0.68407 0.68418 0.68357 0.68359 473 0 5
2022.01.03 11:30:00 0.68359 0.68372 0.68297 0.68313 643 0 6
2022.01.03 12:00:00 0.68313 0.68352 0.68308 0.68337 470 0 5
2022.01.03 12:30:00 0.68337 0.68338 0.68249 0.68249 383 0 5
2022.01.03 13:00:00 0.68251 0.68284 0.68214 0.68278 441 0 4
2022.01.03 13:30:00 0.68278 0.68328 0.68275 0.68326 386 0 4
2022.01.03 14:00:00 0.68326 0.68327 0.68234 0.68246 456 0 4
2022.01.03 14:30:00 0.68246 0.68262 0.68221 0.68254 466 0 3
2022.01.03 15:00:00 0.68255 0.68255 0.68122 0.68158 865 0 3
2022.01.03 15:30:00 0.68158 0.68166 0.68026 0.68036 1311 0 3
2022.01.03 16:00:00 0.68032 0.68033 0.67891 0.67891 1258 0 2
2022.01.03 16:30:00 0.67891 0.67944 0.67782 0.67831 1667 0 3
2022.01.03 17:00:00 0.67836 0.67882 0.67760 0.67774 1484 0 0
2022.01.03 17:30:00 0.67773 0.67790 0.67743 0.67760 1304 0 4
2022.01.03 18:00:00 0.67760 0.67814 0.67743 0.67802 929 0 4
2022.01.03 18:30:00 0.67803 0.67877 0.67788 0.67848 988 0 5
2022.01.03 19:00:00 0.67848 0.67878 0.67829 0.67843 527 0 5
2022.01.03 19:30:00 0.67843 0.67909 0.67823 0.67899 401 0 2
2022.01.03 20:00:00 0.67899 0.67954 0.67851 0.67914 554 0 5
2022.01.03 20:30:00 0.67914 0.67963 0.67910 0.67940 409 0 4
2022.01.03 21:00:00 0.67940 0.67940 0.67884 0.67898 372 0 5
2022.01.03 21:30:00 0.67898 0.67934 0.67876 0.67878 614 0 6
2022.01.03 22:00:00 0.67879 0.67894 0.67828 0.67834 471 0 2
2022.01.03 22:30:00 0.67834 0.67865 0.67822 0.67838 579 0 4
2022.01.03 23:00:00 0.67837 0.67853 0.67810 0.67841 313 0 9
2022.01.03 23:30:00 0.67841 0.67877 0.67820 0.67857 438 0 12
2022.01.04 00:00:00 0.67857 0.67857 0.67752 0.67819 212 0 21
2022.01.04 00:30:00 0.67819 0.67829 0.67780 0.67791 425 0 48
2022.01.04 01:00:00 0.67790 0.67904 0.67790 0.67903 232 0 13
2022.01.04 01:30:00 0.67894 0.67900 0.67863 0.67875 136 0 16
2022.01.04 02:00:00 0.67875 0.67917 0.67857 0.67898 583 0 7
